;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;ALARMS
 
;Analog Alarms
;Analog A,Tagname,HandshakeTagName,HandshakeAutoReset,Acktagname,AckAutoreset,Deadbandvalue,DeadbandType,Outofalarmlabel,AlarmIdentification,Ack File Msg,Ack Printer Message, Ack Message Source,Out of Alm file msg,Out of Alm printer msg,Out of Alm Message Source ,Thresh1 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh2 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh3 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh4 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh5 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh6 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh7 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh8 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,
 
;Digital Alarms
;Digital D,Tagname,type,Label,Severity,Message Source,File msg,Printer msg,Out of alm msg source,Out Of alm File msg,Out of alm Printer msg,Ack msg source,Ack File msg,Ack Printer msg,Alarm Identify,Out of alm label,Ack Tag Name,Ack Auto Reset,Handshake Tag Name,Handshake Auto Reset
"D","Cip2\Valv\XV7202B_ALR","ON","XV7202B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7202C_ALR","ON","XV7202C","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7202D_ALR","ON","XV7202D","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7202E_ALR","ON","XV7202E","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7202F_ALR","ON","XV7202F","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7202G_ALR","ON","XV7202G","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203A_ALR","ON","XV7203A","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203B_ALR","ON","XV7203B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203C_ALR","ON","XV7203C","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203D_ALR","ON","XV7203D","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203E_ALR","ON","XV7203E","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203F_ALR","ON","XV7203F","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203G_ALR","ON","XV7203G","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203H_ALR","ON","XV7203H","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203I_ALR","ON","XV7203I","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203J_ALR","ON","XV7203J","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7203K_ALR","ON","XV7203K","1","S","","","S","","","S","","","","","","N","","N"
